OFFSET 192
CAM ZOOM 20.2105255126953 5.052 1.8  
CAM ZOOM 25.2631581624349 1.263 3  
CAM ZOOM 35.368418375651 2.526 5  
CAM ZOOM 42.9473673502604 2.526 3  
CAM ZOOM 45.4736836751302 10.104 7  
CAM ROTATE 45.4736836751302 2.526 10  
CAM ROTATE 48 2.526 -10  
CAM ROTATE 50.5263163248698 2.526 10  
CAM ROTATE 53.0526275634766 2.526 -10  
CAM ROTATE 55.5789438883464 2.526 10  
CAM ROTATE 58.1052602132161 2.526 -10  
CAM ZOOM 60.6315765380859 5.052 2  
CAM ROTATE 60.6315765380859 2.526 10  
CAM ROTATE 63.1578928629557 2.526 0  
CAM ZOOM 65.6842091878255 2.526 3  
CAM ZOOM 75.7894694010417 5.052 4.5  
CAM ZOOM 80.8421020507813 5.052 2  
CAM ZOOM 85.8947347005208 1.263 3  
CAM ZOOM 103.578938802083 2.526 2  
CAM ZOOM 106.105255126953 1.263 4  
CAM ZOOM 116.210520426432 5.052 2  
CAM ROTATE 120 1.263 360  
CAM ZOOM 121.263153076172 1.263 4  
CAM ZOOM 131.368418375651 5.052 3  
CAM ROTATE 131.368418375651 2.526 370  
CAM ROTATE 133.894734700521 2.526 350  
CAM ROTATE 136.421051025391 2.526 370  
CAM ZOOM 136.421051025391 5.052 1.8  
CAM ROTATE 138.94736735026 2.526 350  
CAM ROTATE 141.473673502604 2.526 360  
B 0 1.5 G 0 R
A 0.473684191703796 0 G 0 R
A 0.78947369257609 0 G 0 R
B 1.26315784454346 1.5 G 30 R
A 1.89473676681519 0 G 0 R
A 2.21052614847819 0 G 0 R
B 2.52631568908691 1.5 G -45 R
A 3 0 G 0 R
A 3.31578922271729 0 G 0 R
B 3.78947353363037 1.5 G 30 R
A 4.57894706726074 0 G 0 R
A 4.7368418375651 0 G 0 R
A 4.89473660786947 0 G 0 R
C 5.05263137817383 0.4515286 G 0 R
A 5.52631568908691 0 G 0 R
A 5.84210522969564 0 G 0 R
B 6.31578954060872 1.5 G -30 R
A 6.94736798604329 0 G 0 R
A 7.26315752665202 0 G 0 R
B 7.57894706726074 1.5 G 30 R
A 8.05263137817383 0 G 0 R
A 8.52631568908691 0 G 0 R
C 8.84210459391276 0.4004444 G 0 R
C 9.47368367513021 0.1890986 A 0 R
B 10.1052627563477 1.5 G -30 R
A 10.5789470672607 0 G 0 R
A 10.8947359720866 0 G 0 R
B 11.3684209187826 1.5 G -30 R
A 12 0 G 0 R
A 12.3157895406087 0 G 0 R
C 12.6315790812174 0.4316753 G 0 R
A 13.1052627563477 0 G 0 R
A 13.4210522969564 0 G 0 R
A 13.8947359720866 0 G -30 R
C 14.8421045939128 0.2770176 G 0 R
C 15.1578941345215 0.8565069 A 0 R
A 15.7894732157389 0 G 0 R
A 16.1052627563477 0 G 30 R
A 17.6842091878255 0 G 0 R
A 18.9473673502604 0 G -30 R
B 20.2105255126953 1.5 G 30 R
A 20.3684196472168 0 G 0 R
A 20.526315053304 0 G 0 R
A 20.6842091878255 0 G 0 R
A 20.8421045939128 0 G 0 R
A 20.9999987284342 0 G 0 R
A 21.1578941345215 0 G 0 R
A 21.315788269043 0 G 0 R
B 21.4736836751302 1.5 G 30 R
A 21.6315790812174 0 G 0 R
A 21.7894719441732 0 G 0 R
A 21.9473673502604 0 G 0 R
A 22.1052627563477 0 G 0 R
A 22.2631581624349 0 G 0 R
A 22.4210510253906 0 G 0 R
A 22.5789464314779 0 G 0 R
B 22.7368418375651 1.5 G 30 R
A 22.8947347005208 0 G 0 R
A 23.0526301066081 0 G 0 R
A 23.2105255126953 0 G 0 R
A 23.3684209187826 0 G 0 R
A 23.5263137817383 0 G 0 R
A 23.6842091878255 0 G 0 R
A 23.8421045939128 0 G 0 R
C 24 -1.075767 G 0 R
A 25.2631581624349 0 G 30 R
A 25.7368418375651 0 G 0 R
A 26.0526301066081 0 G 0 R
B 26.5263137817383 1.5 G 30 R
A 27 0 G 0 R
A 27.315788269043 0 G 0 R
B 27.7894719441732 1.5 G -30 R
A 28.2631556193034 0 G 0 R
A 28.7368418375651 0 G 0 R
C 29.0526301066081 0.8575778 G 0 R
C 29.6842091878255 0.8120131 A 0 R
B 30.315788269043 1.5 G 30 R
A 30.7894719441732 0 G 0 R
A 31.1052627563477 0 G 0 R
C 31.5789464314779 0.5127492 G 0 R
C 32.2105255126953 0.8565068 A 0 R
B 32.5263137817383 1.5 A 0 R
A 32.8421045939128 0 G 0 R
A 33.315788269043 0 G -30 R
A 33.9473673502604 0 G 0 R
B 35.368418375651 1.5 G 30 R
A 35.8421045939128 0 G 0 R
A 36.1578928629557 0 G 0 R
B 36.6315765380859 1.5 G 30 R
A 37.1052627563477 0 G 0 R
A 37.4210510253906 0 G 0 R
B 37.8947347005208 1.5 G 30 R
A 38.368418375651 0 G 0 R
A 38.8421045939128 0 G 0 R
C 39.1578928629557 0.6361747 G 0 R
C 39.7894719441732 0.5895438 A 0 R
B 40.1052627563477 1.5 A 0 R
A 40.4210510253906 0 G 0 R
A 40.8947347005208 0 G 0 R
A 41.368418375651 0 G 0 R
B 41.6842091878255 1.5 G -30 R
A 42.4736836751302 0 G 0 R
C 42.9473673502604 0.7886996 G 0 R
C 43.5789438883464 0.7452726 G 0 R
A 44.2105255126953 0 G 0 R
B 45.4736836751302 1.5 G 45 L
A 45.9473673502604 0 G 0 L
A 46.4210510253906 0 G 0 L
B 46.7368418375651 1.5 G 30 L
A 47.2105255126953 0 G 0 L
A 47.6842091878255 0 G 0 L
B 48 1.5 G 30 L
A 48.4736836751302 0 G 0 L
A 48.7894694010417 0 G 0 L
C 49.1052602132161 0.9598703 G 0 L
A 49.5789438883464 0 G 0 L
B 49.8947347005208 1.5 G -30 L
B 50.2105255126953 1.5 G -30 L
C 50.5263163248698 0.8098717 G 0 L
A 51 0 G 0 L
A 51.4736836751302 0 G 0 L
C 51.7894694010417 0.6785336 G 0 L
A 52.2631581624349 0 G 0 L
A 52.5789438883464 0 G 0 L
C 53.0526275634766 -0.5228014 G 0 L
C 53.6842091878255 0.3559513 A 0 L
C 54 0.4226913 A 0 L
C 54.3157857259115 1.17909 A 0 L
A 54.9473673502604 0 G 0 L
B 55.5789438883464 1.5 G 30 L
A 56.0526275634766 0 G 0 L
A 56.5263112386068 0 G 0 L
B 56.8421020507813 1.5 G -30 L
A 57.3157857259115 0 G 0 L
A 57.7894694010417 0 G 0 L
B 58.1052602132161 1.5 G 30 L
A 58.7368418375651 0 G 0 L
A 59.0526275634766 0 G 0 L
C 59.368418375651 0.635108 G 0 L
B 59.8421020507813 1.5 A 0 L
C 60.1578928629557 0.7563963 A 0 L
B 60.6315765380859 1.5 G -30 L
A 61.2631530761719 0 G 0 L
A 61.5789438883464 0 G 0 L
B 61.8947347005208 1.5 G -30 L
A 62.368418375651 0 G 0 L
