OFFSET 480
CAM ZOOM 18.0000012715658 2 2.5  
CAM ZOOM 20.4000002543132 0.7 5  
CAM FIX 39.6000010172526 0.7 1 1 
CAM RETURN 41.4000015258789 1   
CAM ZOOM 51.6000010172526 1 3  
CAM ROTATE 52.8000030517578 1 30  
CAM ZOOM 58.8000030517578 1 2  
CAM ZOOM 80.4000040690104 1 4  
CAM ROTATE 91 1 0  
CAM ZOOM 97.2000020345052 2 2  
A 0 0 G 0 R
A 1.20000004768372 0 G 0 R
A 2.40000009536743 0 G 0 R
A 3.60000006357829 0 G 0 R
A 4.80000019073486 0 G 60 R
A 6 0 G 0 R
A 7.20000012715658 0 G 0 R
A 8.40000025431315 0 G 0 R
A 9.60000038146973 0 G -60 R
A 10.8000005086263 0 G 0 R
A 12 0 G 0 R
A 13.2000007629395 0 G 60 R
A 13.8000005086263 0 G 60 R
C 14.4000002543132 1.291992 G 0 R
C 15 1.264679 G 0 R
A 15.6000010172526 0 G -60 R
A 16.8000005086263 0 G -60 R
A 18.0000012715658 0 G 0 R
A 19.2000007629395 0 G 0 R
B 20.4000002543132 1.5 G 0 R
B 21.0000012715658 1.5 G 0 R
A 21.6000010172526 0 G 45 R
A 22.2000020345052 0 G 45 R
B 22.8000005086263 1.5 G 0 R
B 23.4000015258789 1.5 G 0 R
C 24 1.139798 G 0 R
C 24.6000010172526 1.233063 G 0 R
A 25.2000020345052 0 G 0 R
A 25.8000005086263 0 G 0 R
B 26.4000015258789 1.5 G -60 R
B 27 1.5 G -60 R
A 27.6000010172526 0 G 60 R
A 28.2000020345052 0 G 60 R
A 28.8000005086263 0 G 0 R
A 29.4000015258789 0 G 0 R
B 30 1.5 G 0 R
A 30.6000010172526 0 G 0 R
B 31.2000020345052 1.5 G 30 R
A 31.8000005086263 0 G 30 R
C 32.4000015258789 -0.002938271 G 0 R
C 33.0000025431315 1.246613 A 0 R
C 33.6000010172526 1.355016 A 0 R
A 34.2000020345052 0 G 30 R
B 34.8000005086263 1.5 G 0 R
B 35.4000015258789 1.5 G 0 R
A 36.0000025431315 0 G 0 R
A 36.6000010172526 0 G 0 R
A 37.2000020345052 0 G -30 R
A 37.8000005086263 0 G -30 R
A 38.4000015258789 0 G 0 R
B 39.0000025431315 2 G 0 R
B 39.3000005086263 2 G 0 R
A 39.6000010172526 0 G 0 R
B 40.2000020345052 1.2 G 0 R
B 40.8000005086263 1.5 G 0 R
B 41.4000015258789 2 G 0 R
C 42.0000025431315 1.067863 G 0 R
B 42.6000010172526 1.5 A 0 R
B 42.9000040690104 1.5 A 0 R
C 43.2000020345052 0.8672085 A 0 R
A 43.5 0 G 0 R
A 43.8000030517578 0 G 0 R
C 44.4000040690104 0.9141846 G 0 R
A 45 0 G -30 R
A 45.3000030517578 0 G -30 R
C 45.6000010172526 1.089664 G 0 R
C 46.2000020345052 0.9756098 W 0 L
C 46.5 0.8852758 W 0 R
A 46.8000030517578 0 G 0 R
A 47.4000040690104 0 G 0 R
A 48 0 G 0 R
A 48.6000010172526 0 G 0 R
B 48.9000040690104 2 G 0 R
B 49.0500030517578 2 G 0 R
A 49.2000020345052 0 G 30 R
A 49.8000030517578 0 G 30 R
C 50.4000040690104 0.4062796 G 0 R
A 50.7000020345052 0 G 0 R
C 51 0.6097565 G 0 R
A 51.3000030517578 0 G 0 R
B 51.6000010172526 1.5 G 0 R
B 52.2000020345052 1.5 G 0 R
B 52.8000030517578 1.5 G 0 R
B 53.4000040690104 1.5 G 0 R
A 54 0 G -30 R
A 54.6000010172526 0 G -30 R
A 55.2000020345052 0 G 0 R
A 55.8000030517578 0 G 0 R
A 56.4000040690104 0 G 0 R
A 57 0 G 0 R
A 57.6000010172526 0 G 0 R
A 58.2000020345052 0 G 0 R
B 58.8000030517578 1.5 G 0 R
B 59.1000010172526 1.5 G 0 R
A 59.4000040690104 0 G 0 R
A 59.7000020345052 0 G 0 R
B 60 1.5 G 0 R
A 60.3000030517578 0 G 0 R
B 60.6000010172526 1.5 G 0 R
A 60.9000040690104 0 G 0 R
C 61.2000020345052 0.906311 G 0 R
B 61.8000030517578 1.5 G -30 R
B 62.1000010172526 1.5 G -30 R
A 62.4000040690104 0 G 0 R
C 63 1.212517 G 0 R
B 63.9000040690104 1.5 A 0 R
C 64.2000020345052 0.7317085 W 0 L
C 64.500005086263 0.7994595 W 0 R
A 64.8000030517578 0 G 0 R
C 65.4000040690104 0.7859116 G 0 R
B 65.7000020345052 1.5 A 0 R
B 65.8500010172526 1.5 A 0 R
A 66.000005086263 0 G 0 R
A 66.6000010172526 0 G 0 R
A 67.2000020345052 0 G 0 R
A 67.3500010172526 0 G 0 R
C 67.500005086263 -0.01354408 G 0 R
B 67.9500020345052 1.5 G 0 R
A 68.7000020345052 0 G 0 R
A 69.000005086263 0 G 0 R
A 69.3000030517578 0 G 0 R
C 69.6000010172526 0.06414604 G 0 R
A 70.8000030517578 0 G 0 R
A 71.4000040690104 0 G 0 R
A 71.5500030517578 0 G 0 R
A 71.7000020345052 0 G 0 R
A 71.8500010172526 0 G 0 R
B 72.000005086263 1.5 G 0 R
B 72.6000010172526 1.5 G 0 R
A 73.2000020345052 0 G 30 R
A 73.9500020345052 0 G 0 R
A 74.1000010172526 0 G 0 R
A 74.250005086263 0 G 0 R
C 74.4000040690104 -0.01366043 G 0 R
B 74.7000020345052 1.5 G 30 R
C 75.000005086263 0.005306244 G 0 R
B 75.3000030517578 1.5 G 30 R
A 75.6000010172526 0 G -60 R
A 75.9000040690104 0 G 60 R
A 76.2000020345052 0 G -60 R
A 76.500005086263 0 G 60 R
B 76.8000030517578 1.5 G 0 R
B 77.1000010172526 1.5 G 0 R
A 77.5500030517578 0 G -30 R
A 78.000005086263 0 G 0 R
A 78.6000010172526 0 G 30 R
B 79.2000020345052 1.5 G 0 R
B 79.8000030517578 1.5 G 0 R
C 80.4000040690104 0.5129738 G 0 R
C 80.7000020345052 0.89431 A 0 R
A 81.000005086263 0 G 0 R
A 81.6000010172526 0 G -30 R
A 81.9000040690104 0 G -30 R
C 82.2000020345052 1.105921 G 0 R
B 83.1000010172526 1.5 G 0 R
C 83.4000040690104 0.9214096 G 0 R
C 84.000005086263 0.9214096 W 0 L
C 84.3000030517578 0.8491421 W 0 R
C 84.6000010172526 0.9936771 W 0 L
A 84.9000040690104 0 G 0 L
A 85.0500030517578 0 G 0 L
B 85.2000020345052 1.5 G 0 L
B 85.8000081380208 1.5 G 0 L
B 85.9500020345052 1.5 G 0 L
B 86.1000061035156 1.5 G 0 L
B 86.25 1.5 G 0 L
A 86.4000040690104 0 G 0 L
A 87 0 G -60 L
A 87.9000040690104 0 G 0 L
C 88.2000020345052 0.5821037 G 0 L
C 88.5 0.9485111 A 0 L
B 88.8000081380208 1.5 G 0 L
B 89.1000061035156 1.5 G 0 L
A 89.4000040690104 0 G 0 L
C 90 1.315266 G 0 L
A 91.2000020345052 0 G 0 R
A 92.7000020345052 0 G 0 R
B 93 1.5 G 0 R
B 93.3000081380208 1.5 G 0 R
B 93.4500020345052 1.5 G 0 R
A 93.6000061035156 0 G 0 R
A 93.9000040690104 0 G 0 R
A 94.2000020345052 0 G -45 R
C 94.5 0.8979168 G 0 R
C 94.6500040690104 1.21048 A 0 R
A 94.8000081380208 0 G -30 R
A 95.4000040690104 0 G 0 R
B 95.7000020345052 1.5 G 0 R
A 96 0 G -30 R
A 96.3000081380208 0 G 60 R
A 96.6000061035156 0 G -30 R
B 97.2000020345052 2 G 0 R
B 97.8000081380208 1.75 G 0 R
B 98.4000040690104 1.5 G 0 R
B 99 1.25 G 0 R
A 99.6000061035156 0 G 0 R
END
