OFFSET 400
CAM FIX 50.4000040690104 0.1 0 0 
CAM RETURN 51.6000010172526 1   
CAM FIX 52.8000030517578 0.5 5 0 
CAM RETURN 55.8000030517578 1   
CAM ZOOM 58.8000030517578 1 4  
A 0 0 G 0 R
B 1.20000004768372 1.5 G 0 R
B 2.40000009536743 1.5 G 60 R
B 3.60000006357829 2 G 60 R
A 4.80000019073486 0 G 0 R
A 6 0 G 0 R
C 7.20000012715658 0.01512766 G 0 R
C 8.40000025431315 0.02575302 G 0 R
A 9.60000038146973 0 G 0 R
A 10.8000005086263 0 G 0 R
B 12 1.5 G -30 R
B 12.6000010172526 1.5 G -30 R
A 13.2000007629395 0 G 0 R
C 14.4000002543132 2.38686 G 0 R
A 15.6000010172526 0 G 0 R
A 16.8000005086263 0 G 0 R
B 18.0000012715658 1 G 0 R
B 18.6000010172526 1.25 G 0 R
B 19.2000007629395 1.5 G 0 R
B 19.8000005086263 2 G 0 R
A 20.4000002543132 0 G -60 R
A 21.0000012715658 0 G 30 R
B 21.6000010172526 1.5 G 45 R
B 22.2000020345052 1.5 G 45 R
B 22.8000005086263 2 G 0 R
A 23.4000015258789 0 G 0 R
C 24 2.111946 G 0 R
C 25.2000020345052 2.253339 W 0 L
A 26.4000015258789 0 G 0 L
A 27 0 G 0 L
B 27.6000010172526 1.5 G 45 L
B 28.2000020345052 1.5 G 45 L
A 28.8000005086263 0 G 0 L
A 29.4000015258789 0 G 0 L
A 30 0 G 0 L
B 30.6000010172526 1.5 G 0 L
A 31.2000020345052 0 G -30 L
B 31.8000005086263 1.5 G -45 L
B 32.4000015258789 1.5 G 60 L
A 33.0000025431315 0 G 0 L
C 33.6000010172526 1.2575 G 0 L
C 34.2000020345052 1.330544 A 0 L
B 34.8000005086263 1 G 0 L
B 37.2000020345052 1 G 0 L
A 39.6000010172526 0 G 0 L
A 39.9000015258789 0 G -30 L
A 40.2000020345052 0 G 45 L
A 40.5000025431315 0 G -60 L
B 40.8000005086263 2 G 0 L
C 41.4000015258789 0.9016495 G 0 L
A 42.0000025431315 0 G 0 L
B 42.6000010172526 1.5 G 0 L
B 42.9000040690104 1.5 G 0 L
A 43.2000020345052 0 G 0 L
A 43.8000030517578 0 G 0 L
C 44.4000040690104 0.9871769 G 0 L
B 45 1.5 A 0 L
B 45.3000030517578 1.5 A 0 L
C 45.6000010172526 1.437844 A 0 L
C 46.2000020345052 1.609535 W 0 R
B 46.8000030517578 1.5 G 0 R
A 47.4000040690104 0 G 0 R
A 47.7000020345052 0 G 0 R
A 48 0 G 60 R
A 48.6000010172526 0 G 0 R
B 49.2000020345052 1.5 G -30 R
B 49.8000030517578 1.5 G -30 R
A 50.4000040690104 0 G 0 R
A 51.6000010172526 0 G 0 R
A 54 0 G 60 R
A 54.6000010172526 0 G -60 R
A 55.2000020345052 0 G 60 R
B 55.8000030517578 1.5 G 0 R
B 57 1.5 G 0 R
B 58.8000030517578 1 G 0 R
B 59.1000010172526 1.2 G 0 R
B 59.4000040690104 1.4 G 0 R
B 59.7000020345052 1.6 G 0 R
B 60 1.8 G 0 R
B 60.3000030517578 2 G 0 R
B 60.6000010172526 2 G 0 R
B 60.9000040690104 2 G 0 R
C 61.2000020345052 0.6646709 G 0 R
A 61.8000030517578 0 G -30 R
C 62.4000040690104 1.066645 G 0 R
A 63 0 G -45 R
A 63.6000010172526 0 E 0 R
END
