OFFSET 1347
CAM ZOOM 0 2 5  
CAM ZOOM 2.18181832631429 2 3  
CAM ROTATE 4.36363665262858 0.5 -30  
CAM ZOOM 4.36363665262858 2 5  
CAM ROTATE 5.45454597473145 0.5 30  
CAM ROTATE 6.54545466105143 2 0  
CAM ZOOM 6.54545466105143 2 3  
C 0 0.6451614 G 0 R
A 0.545454581578573 0 G 0 R
C 1.09090916315715 0.427141 G 0 R
A 1.63636366526286 0 G 0 R
B 2.18181832631429 1.5 G -30 R
A 2.45454565684001 0 G 0 R
B 2.72727298736572 1.5 G -30 R
A 3.00000031789144 0 G 0 R
B 3.27272733052572 1.5 G -30 R
A 3.54545466105143 0 G 0 R
B 3.81818199157715 1.5 G -30 R
A 4.09090932210286 0 G 0 R
C 4.36363665262858 0.2982774 G 0 R
C 4.90909131368001 0.2758625 A 0 R
C 5.45454597473145 0.2669628 A 0 R
C 6.00000063578288 0.2758622 A 0 R
B 6.54545466105143 1.5 G 0 R
C 6.81818199157715 0.2313678 G 0 R
B 7.09090932210286 1.5 G 0 R
C 7.36363665262858 0.1690764 G 0 R
B 7.6363639831543 1.5 G 0 R
C 7.90909131368001 0.2135711 G 0 R
B 8.18181864420573 1.5 G 0 R
C 8.45454597473145 0.1423802 G 0 R
B 8.72727330525716 1.5 G -30 R
A 9.27272796630859 0 G 0 R
B 9.54545529683431 1.5 G 0 R
C 10.0909099578857 0.2302984 G 0 R
C 10.3636372884115 0.2580643 A 0 R
C 10.6363646189372 0.3114574 A 0 R
B 10.9090919494629 1.5 G 0 R
C 11.4545466105143 0.4716344 G 0 R
B 12.0000012715658 1.5 G -30 R
C 12.5454559326172 0.4082733 G 0 R
B 13.0909093221029 1.5 G -30 R
A 13.6363639831543 0 G 0 R
A 13.9090919494629 0 G 30 R
C 14.4545466105143 0.2958853 G 0 R
C 14.7272733052572 0.04004431 A 0 R
B 15.2727279663086 1.5 A 0 R
C 15.81818262736 0.4271408 A 0 R
C 16.0909105936686 0.5472749 A 0 R
B 16.9090919494629 1.5 G 0 R
B 17.4545466105143 1.5 G -30 R
B 18.0000012715658 1.5 G -30 R
B 18.5454559326172 1.5 G 0 R
B 19.0909105936686 1.5 G 0 R
C 19.6363652547201 0.3137666 G 0 R
A 20.1818199157715 0 G 0 R
A 20.4545466105143 0 G 0 R
B 20.7272745768229 1.5 G 0 R
B 21.2727292378743 1.5 G 0 R
A 21.8181838989258 0 G -30 R
C 22.2272745768229 0.5773492 G 0 R
A 22.6363652547201 0 G 0 R
B 22.9090932210286 1.5 G -30 R
C 23.3181838989258 0.6040465 G 0 R
A 23.7272745768229 0 G 0 R
B 24.0000025431315 1.5 G 0 R
B 24.5454559326172 1.5 G 0 R
C 25.0909118652344 0.2269188 G 0 R
C 25.3636372884115 0.2269183 A 0 R
C 25.6363652547201 0.2936597 A 0 R
C 25.9090932210286 0.2669635 A 0 R
A 26.1818186442057 0 G 30 R
B 26.7272745768229 1.5 G 0 R
B 27.1363652547201 1.5 G 0 R
B 27.5454559326172 1.5 G 0 R
B 28.0909118652344 1.5 G 0 R
A 28.3636372884115 0 G -30 R
A 28.9090932210286 0 G 0 R
C 29.4545466105143 0.4404888 G 0 R
A 30.0000025431315 0 G 0 R
C 30.5454559326172 -0.3248067 G 0 R
C 31.0909118652344 -0.1868742 A 0 R
C 31.5000025431315 -0.1468298 A 0 R
C 31.9090932210286 -0.173526 A 0 R
A 32.4545466105143 0 G 0 R
B 32.7272745768229 1.5 G 0 R
B 33.0000025431315 1.5 G 0 R
A 33.2727305094401 0 G 30 R
B 33.8181838989258 1.5 G 0 R
B 34.0909118652344 1.5 G 0 R
A 34.363639831543 0 G 30 R
C 34.9090932210286 -0.3404622 G 0 R
C 35.4545466105143 -0.4137931 A 0 R
C 36.0000025431315 -0.3203559 A 0 R
C 36.5454559326172 0.2402668 A 0 R
C 36.8181838989258 0.2669635 A 0 R
B 37.0909118652344 1.5 G 0 R
B 37.6363652547201 1.5 G -30 R
B 38.1818211873372 1.5 G 0 R
B 38.7272745768229 1.5 G 30 R
B 39.0000025431315 1.5 G 30 R
C 39.2727305094401 0.3169773 G 0 R
C 39.8181838989258 0.3470519 A 0 R
C 40.363639831543 -0.5472748 A 0 R
C 40.9090932210286 0.2669635 A 0 R
C 41.1818211873372 0.2269189 A 0 R
B 41.4545491536458 1.5 G 30 R
A 42.0000025431315 0 G 0 R
B 42.5454584757487 1.5 G -30 R
A 43.0909118652344 0 G 0 R
B 43.6363677978516 1.5 G 30 R
B 44.1818186442057 1.5 G 30 R
B 44.7272745768229 1.5 G 30 R
C 45.2727305094401 0.003211498 G 0 R
C 45.5454559326172 -0.01334763 A 0 R
B 45.8181864420573 1.5 G -30 R
B 46.3636372884115 1.5 G -30 R
B 46.9090932210286 1.5 G -30 R
C 47.4545491536458 -0.01656008 G 0 R
C 47.7272745768229 -0.0133481 A 0 R
A 48.000005086263 0 G 30 R
A 48.5454559326172 0 G 30 R
A 49.0909118652344 0 G 30 R
A 49.6363677978516 0 G 0 R
A 49.9090932210286 0 G 0 R
B 50.1818237304688 1.5 G 0 R
B 50.7272745768229 1.5 G 30 R
B 51.2727305094401 1.5 G 45 R
B 51.8181864420573 1.5 G 60 R
A 52.3636372884115 0 G 0 R
C 52.9090932210286 0.4045973 G 0 R
A 53.3181864420573 0 G 0 R
A 53.7272745768229 0 G 0 R
C 54.000005086263 -0.3203554 G 0 R
B 54.5454559326172 1.5 G -30 R
B 54.8181864420573 1.5 G 30 R
B 55.0909118652344 1.5 G 0 R
B 55.6363677978516 1.5 G 30 R
B 55.9090932210286 1.5 G -30 R
B 56.1818237304688 1.5 G 0 R
C 56.7272745768229 0.5472717 G 0 R
A 57.2727305094401 0 G 0 R
C 57.8181864420573 -0.3604012 G 0 R
C 58.0909118652344 -0.1868744 A 0 R
A 58.3636423746745 0 G 0 R
A 58.6363677978516 0 G 0 R
B 58.9090932210286 1.5 G 0 R
B 59.4545491536458 1.5 G -30 R
B 60.000005086263 1.5 G -45 R
C 60.5454610188802 0.2425356 G 0 R
C 60.8181864420573 0.200223 A 0 R
B 61.0909118652344 1.5 G 0 R
C 61.6363677978516 0.6540613 G 0 R
B 62.1818237304688 1.5 G -30 R
B 62.4545491536458 1.5 G 0 R
C 62.7272745768229 0.7375288 G 0 R
C 63.2727305094401 0.2803125 A 0 R
C 63.5454610188802 0.467185 W 0 L
C 63.8181864420573 0.4271412 W 0 R
C 64.0909118652344 0.4271412 W 0 L
C 64.3636423746745 0.3737488 W 0 R
C 64.6363677978516 0.400445 W 0 L
C 64.9090932210286 0.3604012 W 0 R
C 65.1818237304688 0.5072279 W 0 L
C 65.4545491536458 0.05339622 W 0 R
A 66.000005086263 0 G 0 R
B 66.5454610188802 1.5 G -30 R
B 67.0909118652344 1.5 G 30 R
A 67.6363677978516 0 G 30 R
B 68.1818237304688 1.5 G 0 R
B 68.4545491536458 1.5 G 0 R
A 68.7272796630859 0 G -30 R
B 69.2727305094401 1.5 G 0 R
B 69.5454610188802 1.5 G 0 R
C 69.8181864420573 -0.5339327 G 0 R
C 70.3636423746745 0.3070078 A 0 R
C 70.6363677978516 0.3337049 A 0 R
C 70.9090932210286 -0.02669716 A 0 R
C 71.4545491536458 0.02670002 A 0 R
B 72.000005086263 1.5 A 0 R
A 72.5454610188802 0 G 0 R
B 73.0909118652344 1.5 A 0 R
A 73.6363677978516 0 G 0 R
B 74.1818237304688 1.5 G -30 R
B 74.4545491536458 1.5 G -30 R
B 74.7272796630859 1.5 G -30 R
B 75.000005086263 1.5 G -30 R
B 75.2727305094401 1.5 G 30 R
B 75.5454610188802 1.5 G 30 R
B 75.8181864420573 1.5 G 30 R
B 76.0909118652344 1.5 G 30 R
C 76.3636423746745 0.3203506 G 0 R
A 76.9090983072917 0 G 0 R
C 77.4545491536458 0.3337049 G 0 R
A 78.000005086263 0 G 0 R
C 78.5454610188802 0.6941023 G 0 R
C 79.0909118652344 0.4404898 W 0 L
C 79.3636423746745 0.333704 W 0 R
C 79.6363677978516 0.800889 A 0 R
C 80.1818237304688 0.4271421 W 0 L
C 80.4545491536458 0.4938822 W 0 R
A 80.7272796630859 0 G 0 R
A 81.2727305094401 0 G -30 R
C 81.8181864420573 0.003388405 G 0 R
C 82.0909169514974 0 G 0 R
C 82.3636423746745 1.374862 A 0 R
B 82.9090983072917 1.5 G -30 R
A 83.1818237304688 0 G 0 R
B 83.4545491536458 1.5 G 30 R
B 84.000005086263 1.5 G -30 R
A 84.2727305094401 0 G 0 R
B 84.5454610188802 1.5 G 30 R
B 85.0909169514974 1.5 G 0 R
B 85.6363728841146 2 G 0 R
B 86.1818237304688 2.5 G 0 R
B 86.7272745768229 3 G 0 R
A 87.2727355957031 0 G 0 R
C 89.1818237304688 0.240263 G 0 R
C 89.4545491536458 0.6540565 A 0 R
C 90.000010172526 0.4137936 A 0 R
B 90.5454610188802 3 A 0 R
C 91.0909118652344 0.2135658 A 0 R
C 91.3636474609375 0.266964 A 0 R
A 91.6363728841146 0 G -30 R
C 93.000010172526 0.2303066 G 0 R
C 93.2727355957031 0.333704 A 0 R
C 93.5454610188802 0.3604012 A 0 R
B 93.8181864420573 1.5 G 30 R
B 94.0909118652344 1.5 G -30 R
B 94.3636474609375 1.5 G 30 R
B 94.6363728841146 1.5 G -30 R
B 94.9090983072917 1.5 G 45 R
B 95.1818237304688 1.5 G -45 R
B 95.4545491536458 1.5 G 60 R
C 96.000010172526 0.2701721 G 0 R
C 96.2727355957031 -0.133482 A 0 R
C 96.8181864420573 -0.1868744 A 0 R
C 97.3636474609375 -0.2536144 A 0 R
C 97.9090983072917 -0.2135715 A 0 R
B 98.4545491536458 1.5 A 0 R
B 99.000010172526 1.5 A 0 R
B 99.5454610188802 1.5 A 0 R
B 100.090911865234 1.5 A 0 R
A 100.363647460938 0 G 30 R
A 100.909098307292 0 G 30 R
A 101.454549153646 0 G 30 R
A 102.000010172526 0 G 30 R
B 102.54546101888 1.5 G 0 R
B 103.090911865234 1.5 G 0 R
C 103.636372884115 0.1733551 G 0 R
C 103.818186442057 0.1201344 A 0 R
C 104 0.1868725 A 0 R
C 104.181823730469 -0.01334572 A 0 R
B 104.727274576823 1.5 G 0 R
B 105.000010172526 1.5 G 0 R
C 105.272735595703 -0.5472775 G 0 R
B 105.818186442057 1.5 G 0 R
B 106.090911865234 1.5 G 0 R
C 106.363647460938 1.014462 G 0 R
B 106.909098307292 1.5 G -45 R
B 107.454549153646 1.5 G -30 R
B 108.000010172526 1.5 G 0 R
B 108.54546101888 1.5 A 0 R
A 109.090911865234 0 G 0 R
C 109.636372884115 0.2291889 G 0 R
C 109.909098307292 0.1601772 A 0 R
A 110.181823730469 0 G 0 R
C 110.727284749349 0.2803116 G 0 R
C 111.000010172526 0.2669621 A 0 R
B 111.272735595703 1.5 G 30 R
B 111.818186442057 1.5 G -30 R
B 112.363647460938 1.5 G 30 R
B 112.636372884115 1.5 G -30 R
B 112.909098307292 1.5 G 30 R
B 113.181823730469 1.5 G -30 R
A 113.454549153646 0 G 0 R
C 114.000010172526 0.6273594 G 0 R
B 114.272735595703 1.5 A 0 R
C 115.090911865234 0 A 0 R
A 115.636372884115 0 G -30 R
A 116.181823730469 0 G -30 R
A 116.727284749349 0 G 0 R
A 117.272735595703 0 G 0 R
C 117.818186442057 0.04680634 G 0 R
C 118.363647460938 0.3203564 A 0 R
C 118.636372884115 -1.907349E-06 A 0 R
C 119.181823730469 -0.640707 A 0 R
A 120.000010172526 0 G -45 R
A 120.54546101888 0 G -45 R
A 121.09092203776 0 G -30 R
