OFFSET 1450
CAM ZOOM 4.36363665262858 1 5  
CAM ZOOM 8.72727330525716 1 7  
CAM ZOOM 15.2727279663086 1 3  
CAM ZOOM 17.4545466105143 1 2  
CAM ZOOM 29.4545466105143 1 3  
CAM ZOOM 65.4545491536458 1 4  
CAM ZOOM 95.4545491536458 1 3  
A 0 0 G 0 R
A 2.181818326 0 G 0 R
C 4.363636971 2 G 0 R
A 6.545454979 0 G 0 R
C 8.727273623 -0.1471481 G 0 R
B 10.90909227 4 A 0 R
C 13.09090964 5 A 0 R
B 15.27272828 2 A 0 L
A 17.45454693 0 G -30 L
A 18.54545625 0 G -30 L
A 19.63636557 0 G -30 L
A 20.72727362 0 G -45 L
B 21.81818295 1.5 G 0 L
B 22.90909227 2 G 0 L
B 24.00000159 2.5 G 30 L
B 25.09091091 3 G 45 L
C 26.18182023 2.714803 G 0 L
C 27.27272956 3.18919 W 0 R
B 28.36363888 2 A 0 R
A 29.4545482 0 G 0 R
A 30.54545752 0 G -30 R
A 31.63636684 0 G 0 R
B 32.72727617 2 G 30 R
B 33.81818295 2 G 30 R
B 34.90909227 2 G -30 R
B 36.00000159 3 G -45 R
A 37.09091091 0 G 0 R
A 37.63636684 0 G 0 R
B 38.18182023 3 A 0 R
B 39.27272956 1.5 G 30 R
B 39.81818549 1.5 G 30 R
A 40.36363888 0 G 0 R
A 41.4545482 0 G -30 R
A 42.00000413 0 G -30 R
A 42.54545498 0 G -45 R
A 43.09091091 0 G -60 R
A 43.63636684 0 G -60 R
B 44.72727362 1.5 G 0 R
B 45.27272956 1.5 G 0 R
C 45.81818549 2.112742 W 0 L
C 46.36364142 2.243243 W 0 R
B 46.90909227 1.5 A 0 R
B 47.4545482 3 A 0 R
B 48.00000413 1.5 G 0 R
B 49.09091091 1.5 G 0 R
B 50.18182278 2 G 30 R
B 50.72727362 2 G 30 R
C 51.27272956 2.325767 G 0 R
C 51.81818549 2.049552 A 0 R
A 52.36364142 0 G 0 R
A 54.54546007 0 G 0 R
A 56.72727871 0 G 30 R
A 58.90909735 0 G 30 R
C 61.09091091 1.570507 G 0 R
C 61.63636684 2.027027 A 0 R
C 62.18182278 2.297298 A 0 R
C 62.72727871 1.599098 A 0 R
B 63.27272956 2 A 0 R
B 64.36364142 2 A 0 R
B 65.4545482 2 A 0 R
B 66.54546007 2 A 0 R
B 67.63636684 2 A 0 R
B 68.72727871 2 A 0 R
B 69.81818549 2 A 0 R
B 70.90909735 2 A 0 R
B 72.00000413 2.5 A 0 R
B 73.090916 3 A 0 R
B 74.18182278 3 A 0 R
B 76.36364142 3 A 0 R
A 78.54546007 0 G 0 R
B 80.72727871 4 A 0 R
B 81.81818549 4 A 0 R
B 82.90909735 4 A 0 R
B 85.09091091 4 A 0 R
B 86.18182278 4 A 0 R
C 87.27273464 3.462467 A 0 R
A 89.4545482 0 G 0 R
A 90.54546007 0 G 0 R
C 91.63637193 2 W 0 L
C 93.81818549 2 W 0 R
C 94.36364651 2.5 W 0 L
C 94.90909735 3 W 0 R
A 95.4545482 0 G 0 R
A 96.00000922 0 G 0 R
A 96.54546007 0 G 30 R
A 97.09091091 0 G 30 R
B 97.63637193 2 G 30 R
B 98.18182278 3 G 30 R
B 98.7272838 3 G 30 R
B 99.27273464 3 G 30 R
B 99.81818549 3 G 30 R
A 100.3636465 0 G 45 R
A 101.4545482 0 G 45 R
A 102.5454601 0 G 45 R
A 103.6363719 0 G 45 R
C 104.7272838 0.724308 G 0 R
C 105.8181855 1.986496 A 0 R
C 106.9090974 0.7567558 A 0 R
C 107.4545482 0.9144135 A 0 R
A 108.0000092 0 G 0 R
A 109.0909211 0 G 0 R
A 110.1818228 0 G 0 R
A 111.2727346 0 G 0 R
B 112.3636465 1.5 G -30 R
B 113.4545482 1.5 G -30 R
B 114.5454601 1.5 A 0 R
B 115.6363719 1.5 A 0 R
B 116.7272838 1.5 A 0 R
B 117.8181855 1.5 A 0 R
A 118.9090974 0 G 0 R
A 120.0000092 0 G 0 R
A 121.0909211 0 G 0 R
A 122.1818228 0 G 0 R
