OFFSET 192
CAM ZOOM 20.2105255126953 5.052 1.8  
CAM ZOOM 25.2631581624349 1.263 3  
CAM ZOOM 45.4736836751302 5.052 4.5  
CAM ROTATE 45.4736836751302 2.526 -10  
CAM ROTATE 48 2.526 10  
CAM ROTATE 50.5263163248698 2.526 -10  
CAM ROTATE 53.0526275634766 2.526 10  
CAM ROTATE 55.5789438883464 2.526 -10  
CAM ROTATE 58.1052602132161 2.526 10  
CAM ROTATE 60.6315765380859 2.526 -10  
CAM ZOOM 60.6315765380859 5.052 3  
CAM ROTATE 63.1578928629557 2.526 0  
CAM ROTATE 80.8421020507813 2.526 30  
CAM ZOOM 83.368418375651 2.526 1.5  
CAM ZOOM 85.8947347005208 1.263 3 
CAM ROTATE 85.8947347005208 1.263 0  
CAM ZOOM 103.578938802083 2.526 1.8  
CAM ZOOM 106.105255126953 1.263 3  
CAM ZOOM 118.736836751302 2.526 1.5  
CAM ZOOM 126.315785725911 2.526 2.4  
CAM ZOOM 133.894734700521 2.526 1.8  
CAM ZOOM 141.473673502604 2.526 1.5  
A 0 0 G 0 R
A 1.26315784454346 0 G 0 R
A 2.52631568908691 0 G 30 R
A 5.05263137817383 0 G 0 R
A 6.31578954060872 0 G 0 R
A 7.57894706726074 0 G -30 R
C 8.84210459391276 0.5450499 G 0 R
C 9.47368367513021 0.6674075 A 0 R
A 10.1052627563477 0 G 0 R
A 11.3684209187826 0 G 0 R
A 12.6315790812174 0 G 30 R
A 15.1578941345215 0 G 0 R
A 17.6842091878255 0 G -30 R
A 18.9473673502604 0 G 0 R
B 20.2105255126953 1.5 G 30 R
B 21.4736836751302 1.5 G 45 R
B 22.7368418375651 1.5 G 60 R
B 24 1.5 G 0 R
A 25.2631581624349 0 G -30 R
A 26.5263137817383 0 G 0 R
A 27.7894719441732 0 G -30 R
A 29.0526301066081 0 G 0 R
B 30.315788269043 1.5 G -30 R
C 32.2105255126953 0.8030715 G 0 R
A 32.8421045939128 0 G -30 R
C 35.368418375651 0.2213972 G 0 R
C 36.6315765380859 0.2669632 A 0 R
A 37.8947347005208 0 G 0 R
A 40.4210510253906 0 G -60 R
A 41.6842091878255 0 G -45 R
A 42.9473673502604 0 G -30 R
B 45.4736836751302 1.5 G 30 R
B 46.7368418375651 1.5 G 45 R
B 48 1.5 G 30 R
B 49.2631581624349 1.5 G 0 R
B 50.5263163248698 1.5 G 30 R
B 51.7894694010417 1.5 G 45 R
B 53.0526275634766 1.5 G 30 R
B 54.3157857259115 1.5 G 0 R
B 55.5789438883464 1.5 G -30 R
B 56.8421020507813 1.5 G -45 R
B 58.1052602132161 1.5 G -30 R
C 59.368418375651 -0.3136005 G 0 R
C 60 -0.2892102 A 0 R
B 60.6315765380859 1.5 G -30 R
B 61.8947347005208 1.5 G -45 R
B 63.1578928629557 1.5 G -30 R
A 64.4210510253906 0 G 0 R
A 65.6842091878255 0 G 30 R
A 66.9473673502604 0 G 30 R
A 68.2105255126953 0 G 0 R
A 70.7368367513021 0 G -30 R
A 71.999994913737 0 G -45 R
A 73.2631530761719 0 G -30 R
C 75.1578928629557 0.9300061 G 0 R
A 75.7894694010417 0 G 0 R
A 77.0526275634766 0 G 30 R
A 78.3157857259115 0 G 45 R
A 79.5789438883464 0 G 60 R
A 80.8421020507813 0 G 30 R
A 82.1052602132161 0 G 0 R
C 83.368418375651 0.02870846 G 0 R
C 83.999994913737 0.3337049 A 0 R
C 84.6315765380859 0.7786431 A 0 R
C 85.2631530761719 1.312569 A 0 R
B 85.8947347005208 1.5 G 0 R
B 87.1578877766927 1.5 G 30 R
B 88.4210510253906 1.5 G 0 R
B 89.6842041015625 1.5 G -30 R
B 90.9473673502604 1.5 G 0 R
C 92.2105204264323 0.4894347 G 0 R
C 92.8421020507813 0.2224693 A 0 R
B 93.4736836751302 1.5 G -30 R
C 95.368418375651 0.4438696 G 0 R
B 96 1.5 G -30 R
B 97.2631530761719 1.5 G 0 R
B 98.5263163248698 1.5 G 30 R
B 99.7894694010417 1.5 G 45 R
B 101.05263264974 1.5 G 0 R
B 102.315785725911 1.5 G -30 R
B 103.578938802083 1.5 G 0 R
C 105.47368367513 0.4672303 G 0 R
C 106.105255126953 -1.001112 A 0 R
A 107.368418375651 0 G -30 R
A 108.631571451823 0 G 0 R
B 110.52631632487 1.5 G 30 R
A 111.157887776693 0 G 0 R
C 112.421051025391 0.5116811 G 0 R
C 113.052622477214 0.3114572 A 0 R
A 113.684204101563 0 G 0 R
C 114.94736735026 0.8231368 G 0 R
C 115.578938802083 0.4894328 W 0 L
C 116.210520426432 -0.867631 W 0 R
A 117.47368367513 0 G 0 R
C 118.105255126953 1.179085 G 0 R
B 118.736836751302 1.5 G -30 R
A 121.263153076172 0 G 0 R
A 123.157887776693 0 G -60 R
A 123.789469401042 0 G -45 R
A 125.052622477214 0 G -30 R
A 126.315785725911 0 G 0 R
A 128.210520426432 0 G 30 R
A 128.842102050781 0 G 0 R
C 129.47368367513 0.1725788 G 0 R
C 130.105255126953 -0.5116796 A 0 R
C 130.736836751302 -0.7119021 A 0 R
B 131.368418375651 1.5 G -30 R
B 133.894734700521 1.5 G 0 R
A 135.157887776693 0 G 0 R
A 136.421051025391 0 G 30 R
A 137.684204101563 0 G 30 R
A 138.94736735026 0 G 0 R
C 140.842102050781 0.6684756 G 0 R
A 141.473673502604 0 G 0 R
A 143.999989827474 0 E 0 R
END
