OFFSET 192
CAM ZOOM 20.2105255126953 5.052 1.8  
CAM ZOOM 25.2631581624349 1.263 3  
CAM ZOOM 45.4736836751302 5.052 4.5  
CAM ROTATE 45.4736836751302 2.526 -10  
CAM ROTATE 48 2.526 10  
CAM ROTATE 50.5263163248698 2.526 -10  
CAM ROTATE 53.0526275634766 2.526 10  
CAM ROTATE 55.5789438883464 2.526 -10  
CAM ROTATE 58.1052602132161 2.526 10  
CAM ROTATE 60.6315765380859 2.526 -10  
CAM ZOOM 60.6315765380859 5.052 3  
CAM ROTATE 63.1578928629557 2.526 0  
CAM ROTATE 80.8421020507813 2.526 -15  
CAM ZOOM 83.368418375651 2.526 2.5  
CAM ZOOM 85.8947347005208 1.263 3 
CAM ROTATE 85.8947347005208 1.263 0  
CAM ZOOM 103.578938802083 2.526 1.8  
CAM ZOOM 106.105255126953 1.263 3  
CAM ZOOM 118.736836751302 2.526 1.5  
CAM ZOOM 126.315785725911 2.526 2.4  
CAM ZOOM 133.894734700521 2.526 1.8  
CAM ZOOM 141.473673502604 2.526 1.5  
A 0 0 G 30 R
A 0.78947369257609 0 G 0 R
A 1.26315784454346 0 G -30 R
A 1.89473676681519 0 G 0 R
A 2.52631568908691 0 G -30 R
A 3.78947353363037 0 G 0 R
A 4.42105229695638 0 G 0 R
A 5.05263137817383 0 G 30 R
A 5.84210522969564 0 G 0 R
C 6.31578954060872 0.2714125 G 0 R
C 6.94736798604329 0.3025584 A 0 R
A 7.57894706726074 0 G 0 R
C 8.84210459391276 -0.2580643 G 0 R
C 9.47368367513021 -0.2580645 A 0 R
A 10.1052627563477 0 G 0 R
A 10.8947359720866 0 G 0 R
A 11.3684209187826 0 G -30 R
A 12 0 G 0 R
A 12.6315790812174 0 G 0 R
A 13.8947359720866 0 G 30 R
A 14.526315053304 0 G 30 R
C 15.1578941345215 0.6239846 G 0 R
A 15.7894732157389 0 G 0 R
A 17.6842091878255 0 G -30 R
A 18.9473673502604 0 G 0 R
A 20.2105255126953 0 G 0 R
A 20.526315053304 0 G 0 R
A 20.8421045939128 0 G 0 R
A 21.1578941345215 0 G 0 R
