OFFSET 480
CAM ROTATE 90.3220621744792 0.5 -15  
CAM ROTATE 95.0872090657552 0.5 15  
A 0 0 G 60 R
A 1.20000004768372 0 G 0 R
A 3.60000006357829 0 G 0 R
B 6 1.5 G 0 R
B 8.40000025431315 1.5 G -60 R
A 10.8000005086263 0 G 0 R
B 13.2000007629395 1.5 G 0 R
A 15.6000010172526 0 G 0 R
A 16.8000005086263 0 G 0 R
B 18.0000012715658 1.5 G 0 R
B 19.2000007629395 1.5 G 0 R
A 20.4000002543132 0 G 0 R
B 21.6000010172526 1.5 G 0 R
A 22.8000005086263 0 G 45 R
A 24 0 G 45 R
A 25.2000020345052 0 G 0 R
B 26.4000015258789 1.5 G 0 R
A 27.6000010172526 0 G -60 R
A 28.8000005086263 0 G -60 R
A 30 0 G 0 R
A 31.2000020345052 0 G 0 R
C 32.4000015258789 0.02597809 G 0 R
C 33.6000010172526 -0.09033442 A 0 R
A 34.8000005086263 0 G 0 R
A 36.0000025431315 0 G 0 R
B 37.2000020345052 2 G 0 R
A 39.6000010172526 0 G 0 R
A 40.2000020345052 0 G 30 R
A 40.8000005086263 0 G 45 R
A 41.4000015258789 0 G 60 R
A 42.0000025431315 0 G 0 R
C 43.2000020345052 0.01038408 G 0 R
B 44.4000040690104 1.5 G 0 R
C 45.6000010172526 0 G 0 R
A 46.8000030517578 0 G 0 R
A 47.4000040690104 0 G 0 R
C 48 0.02258515 G 0 R
A 49.2000020345052 0 G 30 R
A 49.8000030517578 0 G -30 R
B 50.4000040690104 1.5 G 0 R
A 51.6000010172526 0 G 0 R
A 52.2000020345052 0 G 0 R
A 52.8000030517578 0 G 0 R
C 53.4000040690104 1.332427 G 0 R
A 54.6000010172526 0 G 0 R
A 55.2000020345052 0 G 0 R
A 55.8000030517578 0 G -60 R
B 57 1.5 G 0 R
B 57.6000010172526 1.5 G 30 R
B 58.2000020345052 1.5 G -30 R
A 58.8000030517578 0 G 0 R
A 59.4000040690104 0 G 0 R
C 60 0.9642134 G 0 R
C 60.6000010172526 1.129178 A 0 R
A 61.2000020345052 0 G -60 R
A 62.4000040690104 0 G -60 R
B 63.6000010172526 1.5 G 60 R
B 64.8000030517578 1.5 G 60 R
A 66.000005086263 0 G -60 R
A 67.2000020345052 0 G -60 R
B 68.4000040690104 1.5 G 60 R
B 69.6000010172526 1.5 G -60 R
B 70.8000030517578 1.5 G 0 R
B 71.4000040690104 1.5 G 0 R
A 72.000005086263 0 G 60 R
B 73.2000020345052 1.5 G 0 R
B 73.8000030517578 1.5 G 0 R
C 74.4000040690104 -0.02946556 G 0 R
B 75.6000010172526 1.5 G 0 R
B 76.2000020345052 1.5 G 0 R
A 76.8000030517578 0 G -30 R
A 77.4000040690104 0 G -30 R
B 78.000005086263 1.5 G 0 R
B 78.6000010172526 1.5 G 0 R
A 79.2000020345052 0 G 30 R
A 79.8000030517578 0 G 30 R
C 80.4000040690104 1.693771 G 0 R
C 81.6000010172526 1.806685 W 0 L
C 82.8000030517578 1.603434 W 0 R
B 84.000005086263 1.5 G 0 R
A 85.2000020345052 0 G -60 R
A 86.4000040690104 0 G -60 R
A 87.6000061035156 0 G 30 R
A 88.2000020345052 0 G 30 R
B 88.8000081380208 1.5 G 0 R
A 90 0 G 0 R
A 94.8000081380208 0 G 0 R
B 97.2000020345052 1.5 G 45 R
B 97.8000081380208 1.5 G -45 R
B 98.4000040690104 1.5 G 45 R
B 99 1.5 G -45 R
A 99.6000061035156 0 G 0 R
A 102 0 E 0 R
END
