OFFSET 1200
CAM ZOOM 0 0.2 4  
CAM ZOOM 0.9375 0.2 3  
CAM ZOOM 19.0625 0.5 4  
CAM ZOOM 21.875 1 3     
CAM ROTATE 50 0.01 -10  
CAM ROTATE 50.78125 0.01 10  
CAM ROTATE 51.09375 1 0  
CAM ZOOM 55 2 4  
CAM ZOOM 62.5 1 3  
CAM ZOOM 92.5 0.1 2.5  
CAM ZOOM 92.96875 0.1 2  
CAM ZOOM 95 1 3  
A 0 0 G 0 R
B 1.5625 1.5 G 0 R
A 2.5 0 G 30 R
A 3.75 0 G -30 R
A 5 0 G 30 R
A 6.25 0 G -30 R
A 7.5 0 G 0 R
A 8.75 0 G 60 R
B 10 1.5 G -45 R
B 10.46875 1.5 G -45 R
B 10.9375 1.5 G -45 R
A 11.5625 0 G 0 R
A 12.5 0 G 0 R
A 13.75 0 G 0 R
B 15 1.5 G 60 R
C 16.09375 -0.02518511 G 0 R
C 16.71875 -3.576279E-07 G 0 R
A 17.34375 0 G 0 R
B 18.125 1.5 G 30 R
B 18.90625 1.5 G 0 R
C 20 0.771624 G 0 R
C 20.46875 0.9384164 A 0 R
C 21.09375 0.9970675 A 0 R
B 21.71875 1.5 G -60 R
A 22.5 0 G 0 R
A 23.125 0 G 0 R
B 23.59375 1.5 G 0 R
B 24.21875 1.5 G 0 R
A 25 0 G 45 R
A 25.46875 0 G 0 R
A 25.78125 0 G 0 R
A 26.09375 0 G 0 R
C 26.71875 0.9959774 G 0 R
B 27.34375 1.5 G 0 R
A 28.59375 0 G 30 R
A 29.21875 0 G 0 R
B 29.84375 1.5 G 60 R
B 30.46875 1.5 G -60 R
A 31.09375 0 G 0 R
A 32.5 0 G 0 R
A 33.125 0 G -30 R
C 33.75 0.2052822 G 0 R
C 34.375 0.3372431 G 0 R
B 35 1.5 G 0 R
B 35.625 1.5 G -45 R
A 36.25 0 G 0 R
A 36.875 0 G 45 R
C 37.5 -0.0146656 G 0 R
C 38.125 0.6598244 A 0 R
C 38.4375 0.7331381 A 0 R
A 38.75 0 G 30 R
A 39.21875 0 G 0 R
B 39.84375 1.5 G -60 R
A 40.78125 0 G 0 R
A 41.875 0 G 0 R
A 42.34375 0 G 0 R
A 44.375 0 G 0 R
B 44.84375 1.5 G 45 R
A 45.46875 0 G -45 R
A 46.09375 0 G 0 R
A 46.71875 0 G 0 R
B 47.5 2 G 0 R
B 48.75 2 G 45 R
B 49.375 2 G -60 R
C 50 -0.004744053 G 0 R
C 50.3125 -0.01466274 G 0 R
C 50.78125 -0.01466274 G 0 R
B 51.09375 1.5 G 0 R
A 52.5 0 G 0 R
A 52.96875 0 G 0 R
B 53.59375 1.5 G 60 R
A 55 0 G 0 R
A 55.625 0 G -45 R
A 56.25 0 G 0 R
A 56.875 0 G 45 R
A 57.5 0 G 0 R
A 58.125 0 G 0 R
B 58.75 1.5 G 60 R
A 59.375 0 G -60 R
A 60 0 G 0 R
A 60.625 0 G 0 R
C 61.25 1.083193 G 0 R
C 61.875 1.041057 W 0 L
A 62.5 0 G 0 L
A 63.125 0 G 0 L
B 63.75 1.5 G 45 L
B 64.375 2 G 0 L
A 65 0 G 0 L
B 65.625 1.5 G 0 L
A 66.25 0 G -30 L
B 66.875 1.5 G 30 L
A 67.5 0 G -45 L
B 68.125 1.5 G 45 L
A 68.75 0 G -60 L
B 69.375 1.5 G 0 L
C 70 1.647005 G 0 L
A 70.625 0 G -45 L
A 71.25 0 G -30 L
A 71.875 0 G 0 L
C 72.5 1.108142 G 0 L
A 73.125 0 G -60 L
A 73.75 0 G 0 L
B 74.375 1.5 G 0 L
C 75 0.9705648 G 0 L
B 75.625 2.5 A 0 L
A 76.25 0 G 0 L
A 76.875 0 G 0 L
B 77.5 2.5 G 45 L
A 78.125 0 G -60 L
B 78.75 2.5 G 45 L
A 79.375 0 G -30 L
B 80 1.5 G 0 L
B 80.625 1.5 G 0 L
B 81.25 2 G 0 L
B 81.875 2 G 0 L
C 82.5 0.8079381 G 0 L
C 83.125 0.8504391 G 0 L
C 83.75 1.11437 W 0 R
A 84.375 0 G -45 R
A 85 0 G 0 R
A 85.625 0 G 0 R
A 85.9375 0 G 0 R
B 86.25 1.5 G 0 R
A 86.875 0 G 0 R
A 87.1875 0 G 0 R
B 87.5 1.5 G 45 R
A 88.125 0 G 0 R
A 88.4375 0 G 0 R
B 88.75 1.5 G 0 R
C 90 0.9090939 G 0 R
C 90.46875 0.8944283 G 0 R
A 91.09375 0 G 0 R
A 91.71875 0 G -45 R
B 92.5 2 G 0 R
B 92.96875 1.5 G 0 R
A 93.4375 0 G 0 R
A 95 0 G 0 R
A 97.5 0 E 0 R
END
